"bigram","n","year","score","category"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,2,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1,2016,2,"Mass Media"
NA,1576,2016,2,"Nightlife"
NA,883,2016,2,"Nightlife"
NA,636,2016,2,"Nightlife"
NA,605,2016,2,"Nightlife"
NA,456,2016,2,"Nightlife"
NA,421,2016,2,"Nightlife"
NA,420,2016,2,"Nightlife"
NA,418,2016,2,"Nightlife"
NA,405,2016,2,"Nightlife"
NA,386,2016,2,"Nightlife"
NA,375,2016,2,"Nightlife"
NA,374,2016,2,"Nightlife"
NA,361,2016,2,"Nightlife"
NA,348,2016,2,"Nightlife"
NA,346,2016,2,"Nightlife"
NA,346,2016,2,"Nightlife"
NA,327,2016,2,"Nightlife"
NA,310,2016,2,"Nightlife"
NA,309,2016,2,"Nightlife"
NA,303,2016,2,"Nightlife"
NA,271,2016,2,"Nightlife"
NA,268,2016,2,"Nightlife"
NA,266,2016,2,"Nightlife"
NA,265,2016,2,"Nightlife"
NA,257,2016,2,"Nightlife"
NA,237,2016,2,"Nightlife"
NA,237,2016,2,"Nightlife"
NA,235,2016,2,"Nightlife"
NA,228,2016,2,"Nightlife"
NA,222,2016,2,"Nightlife"
NA,221,2016,2,"Nightlife"
NA,215,2016,2,"Nightlife"
NA,213,2016,2,"Nightlife"
NA,210,2016,2,"Nightlife"
NA,209,2016,2,"Nightlife"
NA,209,2016,2,"Nightlife"
NA,204,2016,2,"Nightlife"
NA,204,2016,2,"Nightlife"
NA,203,2016,2,"Nightlife"
NA,202,2016,2,"Nightlife"
NA,198,2016,2,"Nightlife"
NA,195,2016,2,"Nightlife"
NA,194,2016,2,"Nightlife"
NA,193,2016,2,"Nightlife"
NA,190,2016,2,"Nightlife"
NA,185,2016,2,"Nightlife"
NA,180,2016,2,"Nightlife"
NA,180,2016,2,"Nightlife"
NA,178,2016,2,"Nightlife"
NA,178,2016,2,"Nightlife"
NA,174,2016,2,"Nightlife"
NA,172,2016,2,"Nightlife"
NA,171,2016,2,"Nightlife"
NA,171,2016,2,"Nightlife"
NA,167,2016,2,"Nightlife"
NA,167,2016,2,"Nightlife"
NA,164,2016,2,"Nightlife"
NA,161,2016,2,"Nightlife"
NA,160,2016,2,"Nightlife"
NA,159,2016,2,"Nightlife"
NA,153,2016,2,"Nightlife"
NA,152,2016,2,"Nightlife"
NA,150,2016,2,"Nightlife"
NA,150,2016,2,"Nightlife"
NA,149,2016,2,"Nightlife"
NA,148,2016,2,"Nightlife"
NA,146,2016,2,"Nightlife"
NA,145,2016,2,"Nightlife"
NA,144,2016,2,"Nightlife"
NA,143,2016,2,"Nightlife"
NA,142,2016,2,"Nightlife"
NA,139,2016,2,"Nightlife"
NA,137,2016,2,"Nightlife"
NA,137,2016,2,"Nightlife"
NA,137,2016,2,"Nightlife"
NA,136,2016,2,"Nightlife"
NA,135,2016,2,"Nightlife"
NA,134,2016,2,"Nightlife"
NA,134,2016,2,"Nightlife"
NA,132,2016,2,"Nightlife"
NA,131,2016,2,"Nightlife"
NA,131,2016,2,"Nightlife"
NA,130,2016,2,"Nightlife"
NA,128,2016,2,"Nightlife"
NA,128,2016,2,"Nightlife"
NA,126,2016,2,"Nightlife"
NA,126,2016,2,"Nightlife"
NA,125,2016,2,"Nightlife"
NA,123,2016,2,"Nightlife"
NA,123,2016,2,"Nightlife"
NA,123,2016,2,"Nightlife"
NA,121,2016,2,"Nightlife"
NA,120,2016,2,"Nightlife"
NA,119,2016,2,"Nightlife"
NA,118,2016,2,"Nightlife"
NA,118,2016,2,"Nightlife"
NA,117,2016,2,"Nightlife"
NA,116,2016,2,"Nightlife"
NA,115,2016,2,"Nightlife"
NA,115,2016,2,"Nightlife"
NA,30,2016,2,"Pets"
NA,22,2016,2,"Pets"
NA,17,2016,2,"Pets"
NA,15,2016,2,"Pets"
NA,12,2016,2,"Pets"
NA,12,2016,2,"Pets"
NA,11,2016,2,"Pets"
NA,10,2016,2,"Pets"
NA,10,2016,2,"Pets"
NA,9,2016,2,"Pets"
NA,9,2016,2,"Pets"
NA,8,2016,2,"Pets"
NA,8,2016,2,"Pets"
NA,8,2016,2,"Pets"
NA,8,2016,2,"Pets"
NA,7,2016,2,"Pets"
NA,7,2016,2,"Pets"
NA,7,2016,2,"Pets"
NA,7,2016,2,"Pets"
NA,7,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,6,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,5,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,4,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,3,2016,2,"Pets"
NA,34,2016,2,"Professional Services"
NA,19,2016,2,"Professional Services"
NA,17,2016,2,"Professional Services"
NA,16,2016,2,"Professional Services"
NA,15,2016,2,"Professional Services"
NA,11,2016,2,"Professional Services"
NA,11,2016,2,"Professional Services"
NA,11,2016,2,"Professional Services"
NA,10,2016,2,"Professional Services"
NA,9,2016,2,"Professional Services"
NA,9,2016,2,"Professional Services"
NA,9,2016,2,"Professional Services"
NA,8,2016,2,"Professional Services"
NA,8,2016,2,"Professional Services"
NA,8,2016,2,"Professional Services"
NA,8,2016,2,"Professional Services"
NA,8,2016,2,"Professional Services"
NA,7,2016,2,"Professional Services"
NA,7,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,6,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,5,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,4,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,3,2016,2,"Professional Services"
NA,40,2016,2,"Public Services & Government"
NA,21,2016,2,"Public Services & Government"
NA,17,2016,2,"Public Services & Government"
NA,16,2016,2,"Public Services & Government"
NA,16,2016,2,"Public Services & Government"
NA,9,2016,2,"Public Services & Government"
NA,8,2016,2,"Public Services & Government"
NA,7,2016,2,"Public Services & Government"
NA,7,2016,2,"Public Services & Government"
NA,7,2016,2,"Public Services & Government"
NA,7,2016,2,"Public Services & Government"
NA,7,2016,2,"Public Services & Government"
NA,6,2016,2,"Public Services & Government"
NA,6,2016,2,"Public Services & Government"
NA,6,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,5,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,4,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,3,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,2,2016,2,"Public Services & Government"
NA,41,2016,2,"Real Estate"
NA,37,2016,2,"Real Estate"
NA,31,2016,2,"Real Estate"
NA,30,2016,2,"Real Estate"
NA,30,2016,2,"Real Estate"
NA,18,2016,2,"Real Estate"
NA,18,2016,2,"Real Estate"
NA,17,2016,2,"Real Estate"
NA,16,2016,2,"Real Estate"
NA,16,2016,2,"Real Estate"
NA,15,2016,2,"Real Estate"
NA,15,2016,2,"Real Estate"
NA,15,2016,2,"Real Estate"
NA,14,2016,2,"Real Estate"
NA,13,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,12,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,11,2016,2,"Real Estate"
NA,10,2016,2,"Real Estate"
NA,10,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,9,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,8,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,7,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Real Estate"
NA,6,2016,2,"Religious Organizations"
NA,4,2016,2,"Religious Organizations"
NA,4,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,3,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,2,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,1,2016,2,"Religious Organizations"
NA,36938,2016,2,"Restaurants"
NA,18829,2016,2,"Restaurants"
NA,14915,2016,2,"Restaurants"
NA,11786,2016,2,"Restaurants"
NA,11060,2016,2,"Restaurants"
NA,10366,2016,2,"Restaurants"
NA,10149,2016,2,"Restaurants"
NA,10042,2016,2,"Restaurants"
NA,9217,2016,2,"Restaurants"
NA,8017,2016,2,"Restaurants"
NA,7879,2016,2,"Restaurants"
NA,7437,2016,2,"Restaurants"
NA,7359,2016,2,"Restaurants"
NA,6791,2016,2,"Restaurants"
NA,6786,2016,2,"Restaurants"
NA,6336,2016,2,"Restaurants"
NA,5986,2016,2,"Restaurants"
NA,5895,2016,2,"Restaurants"
NA,5843,2016,2,"Restaurants"
NA,5809,2016,2,"Restaurants"
NA,5777,2016,2,"Restaurants"
NA,5745,2016,2,"Restaurants"
NA,5717,2016,2,"Restaurants"
NA,5702,2016,2,"Restaurants"
NA,5577,2016,2,"Restaurants"
NA,5562,2016,2,"Restaurants"
NA,5519,2016,2,"Restaurants"
NA,5478,2016,2,"Restaurants"
NA,5433,2016,2,"Restaurants"
NA,5398,2016,2,"Restaurants"
NA,5382,2016,2,"Restaurants"
NA,5303,2016,2,"Restaurants"
NA,5154,2016,2,"Restaurants"
NA,5133,2016,2,"Restaurants"
NA,5022,2016,2,"Restaurants"
NA,4956,2016,2,"Restaurants"
NA,4928,2016,2,"Restaurants"
NA,4894,2016,2,"Restaurants"
NA,4796,2016,2,"Restaurants"
NA,4771,2016,2,"Restaurants"
NA,4609,2016,2,"Restaurants"
NA,4434,2016,2,"Restaurants"
NA,4404,2016,2,"Restaurants"
NA,4402,2016,2,"Restaurants"
NA,4397,2016,2,"Restaurants"
NA,4355,2016,2,"Restaurants"
NA,4339,2016,2,"Restaurants"
NA,4336,2016,2,"Restaurants"
NA,4291,2016,2,"Restaurants"
NA,4266,2016,2,"Restaurants"
NA,4263,2016,2,"Restaurants"
NA,4247,2016,2,"Restaurants"
NA,4232,2016,2,"Restaurants"
NA,4208,2016,2,"Restaurants"
NA,4085,2016,2,"Restaurants"
NA,4067,2016,2,"Restaurants"
NA,3837,2016,2,"Restaurants"
NA,3786,2016,2,"Restaurants"
NA,3775,2016,2,"Restaurants"
NA,3761,2016,2,"Restaurants"
NA,3707,2016,2,"Restaurants"
NA,3699,2016,2,"Restaurants"
NA,3654,2016,2,"Restaurants"
NA,3640,2016,2,"Restaurants"
NA,3570,2016,2,"Restaurants"
NA,3560,2016,2,"Restaurants"
NA,3554,2016,2,"Restaurants"
NA,3542,2016,2,"Restaurants"
NA,3524,2016,2,"Restaurants"
